id,title,datetaken,dateupload,description,license,ownername,latitude,longitude,url,photopage,tags
7676133670,Central Park Sunset,2011-11-27 22:22:12,1343650481,November 2011,6,mattharvey1,40.75922,-73.980131,http://farm8.staticflickr.com/7129/7676133670_da94b43d89.jpg,http://www.flickr.com/photos/64792720@N00/7676133670,nyc//sunset//newyork//centralpark//empirestate//rockefellercentre//radiocitymusichall
6853085424,65/365: The Daily Dose Project,2011-05-09 13:16:35,1332225565,"Teach me how to doogie. Central Park, NYC.  Photo by Pam Lau  <a href=""http://www.pamlau.com"" target=""_blank"" rel=""nofollow"">WEBSITE</a> // <a href=""http://twitter.com/pamlau"" target=""_blank"" rel=""nofollow"">TWITTER</a> // <a href=""http://pamlau.tumblr.com"" target=""_blank"" rel=""nofollow"">TUMBLR</a> // <a href=""http://www.vimeo.com/pamlau"" target=""_blank"" rel=""nofollow"">VIMEO</a>  Check out the rest of <a href=""http://www.flickr.com/photos/pamlau/sets/72157628693819495/"" target=""_blank"">The Daily Dose Project</a>.",6,pamlau,40.782398,-73.965553,http://farm7.staticflickr.com/6120/6853085424_d331e3b7b8.jpg,http://www.flickr.com/photos/59423102@N07/6853085424,park//nyc//newyorkcity//summer//ny//newyork//cute//dogs//grass//puppy//pavement//centralpark//fluffy//gothamist//reach//365//leash//petting//pantyhose//dailyphoto//naturallighting//blackboots//dailydose//leatherboots//blackconverse//365project//converselowtops
6377665131,Central Park & Big,2011-11-14 17:20:52,1321896370,"",6,Francesca Gallina,40.769621,-73.973842,http://farm7.staticflickr.com/6098/6377665131_a6cc62368c.jpg,http://www.flickr.com/photos/70058865@N03/6377665131,autumn//newyork//centralpark//autunno
6377636825,Autumn in New York,2011-11-14 16:54:30,1321896085,"",6,Francesca Gallina,40.775991,-73.969036,http://farm7.staticflickr.com/6228/6377636825_8219143303.jpg,http://www.flickr.com/photos/70058865@N03/6377636825,autumn//newyork//centralpark//autunno
6377685059,Central park,2011-11-14 17:33:09,1321896577,"",6,Francesca Gallina,40.766371,-73.973842,http://farm7.staticflickr.com/6223/6377685059_14b2e22059.jpg,http://www.flickr.com/photos/70058865@N03/6377685059,autumn//newyork//centralpark//autunno
6377609673,Duck at Central Park,2011-11-14 16:43:51,1321895812,"",6,Francesca Gallina,40.78548,-73.962512,http://farm7.staticflickr.com/6108/6377609673_2a5b370845.jpg,http://www.flickr.com/photos/70058865@N03/6377609673,newyork//centralpark
6230027388,new york city :: belvedere castle,2010-10-26 03:09:31,1318234089,"Mehr über dieses Fotos gibt's auf <a href=""http://www.hdr-blog.com/fotos/new-york-city-central-park-bel/"" rel=""nofollow"">www.hdr-blog.com</a>",6,hjjanisch,40.768509,-73.978586,http://farm7.staticflickr.com/6160/6230027388_36ed6ff2ba.jpg,http://www.flickr.com/photos/30861669@N08/6230027388,park//newyorkcity//castle//centralpark//sightseeing//belvederecastle
6183359162,Bethesda Fountain,2011-09-24 14:23:29,1316993832,"",6,jmd41280,40.773765,-73.97099,http://farm7.staticflickr.com/6162/6183359162_bef19b6709.jpg,http://www.flickr.com/photos/91396833@N00/6183359162,newyorkcity//newyork//centralpark//manhattan//newyorkny//bethesdafountain
5957335939,Raising the Heart Rate,2011-07-19 19:21:04,1311168270,"",6,A. Strakey,40.785862,-73.958008,http://farm7.staticflickr.com/6140/5957335939_6165f0a9d1.jpg,http://www.flickr.com/photos/7416936@N05/5957335939,nyc//newyorkcity//sunset//newyork//centralpark//manhattan//running//gothamist//gotham//jogging//runner//curbed//jogger//newyorkny//centralparkwest//thebigapple//centralparkreservoir//jacquelinekennedyonassisreservoir//centralparksunset
5762476145,Central Park,2011-05-02 04:16:26,1306443179,Part of midtown NYC skyline from central park ,6,Gane,40.776739,-73.972578,http://farm3.staticflickr.com/2530/5762476145_3eb9e33a20.jpg,http://www.flickr.com/photos/19396720@N00/5762476145,park//nyc//trees//usa//newyork//tree//green//garden//centralpark
5709355670,Relaxing at Central Park,2011-05-02 04:02:20,1305088485,In New York City.,6,Gane,40.776739,-73.972578,http://farm3.staticflickr.com/2219/5709355670_9c91fa545f.jpg,http://www.flickr.com/photos/19396720@N00/5709355670,park//nyc//newyorkcity//bridge//usa//newyork//rock//canal//centralpark
5541139148,old couple,2011-03-17 16:31:37,1300571116,"",6,cdelalcazar,40.767996,-73.982448,http://farm6.staticflickr.com/5053/5541139148_df5677008a.jpg,http://www.flickr.com/photos/47496008@N03/5541139148,portrait//people//newyork//centralpark//candid//strangers//elderly//icecream//columbuscircle
5346280146,"Kate, Ruth, Me",2011-01-07 22:52:03,1294754039,"",6,James Byrum,40.789769,-73.961763,http://farm6.staticflickr.com/5210/5346280146_83b99787bb.jpg,http://www.flickr.com/photos/91391563@N00/5346280146,city//newyorkcity//winter//usa//newyork//centralpark
5226394050,Thank you for the music (Central Park - Manhattan),2009-12-01 17:10:45,1291295369,"© All rights reserved: don't use this image on websites, blogs or media without my explicit permission.  A musical gift: <a href=""http://www.youtube.com/watch?v=4i-VlUiGxEQ"" rel=""nofollow"">www.youtube.com/watch?v=4i-VlUiGxEQ</a>",6,angelocesare,40.774025,-73.971043,http://farm6.staticflickr.com/5083/5226394050_17a16079f2.jpg,http://www.flickr.com/photos/26849183@N00/5226394050,ny//newyork//choir//december//song//centralpark//manhattan//voice//dicembre//coro//voce//canzone//angeloamboldiphotos
5217217137,Sweet music in Central Park,2009-12-01 17:03:16,1291033889,"© All rights reserved: don't use this image on websites, blogs or media without my explicit permission.",6,angelocesare,40.774025,-73.971043,http://farm6.staticflickr.com/5010/5217217137_bae8851b1f.jpg,http://www.flickr.com/photos/26849183@N00/5217217137,music//ny//newyork//song//centralpark//manhattan//musica//bethesdaterrace//canzone//angeloamboldiphotos
5121934098,"Central Park, NYC",2010-10-04 12:41:50,1288219628,"",6,faungg,40.705627,-73.988113,http://farm5.staticflickr.com/4092/5121934098_e554d72f19.jpg,http://www.flickr.com/photos/44534236@N00/5121934098,park//city//nyc//travel//trees//vacation//people//urban//ny//newyork//reflection//green//water//rain//umbrella//nikon//view//metro//centralpark//sightseeing//scene//snap//rainy//旅游//raining//attraction//streetshot//街拍//随拍//18200mm//纽约//1497//雨中//d40x//中央公园//faungg
